pc1,pc2,emotion_4class,speaker_id
-24.0518,-18.987032,sad,Ses01F
-12.322453,-15.396025,neutral,Ses01F
3.632513,-12.674721,sad,Ses01F
-34.46387,-30.732277,sad,Ses01F
-29.284739,-6.521541,sad,Ses01F
28.58169,-11.2267065,sad,Ses01F
23.046167,-4.8938932,sad,Ses01F
20.315962,-10.092411,sad,Ses01F
-15.837269,-11.262522,neutral,Ses01F
-13.8937235,-7.929301,neutral,Ses01F
28.346478,-11.095457,neutral,Ses01F
-40.825066,-20.105356,sad,Ses01F
-38.243713,-23.864395,sad,Ses01F
0.47608143,-3.2104678,sad,Ses01F
13.783793,-10.113985,sad,Ses01F
-8.476501,-10.750003,sad,Ses01F
-44.954185,-23.808691,sad,Ses01F
-26.236828,-8.587062,sad,Ses01F
2.23035,-14.515699,neutral,Ses01F
-33.02206,-29.184847,sad,Ses01F
-32.266315,18.625912,happy,Ses01F
-63.21726,-8.569681,happy,Ses01F
11.140709,13.665845,happy,Ses01F
-14.550876,11.774911,happy,Ses01F
2.7517548,15.173961,happy,Ses01F
18.282854,0.62481153,happy,Ses01F
0.21069373,9.438272,happy,Ses01F
-16.666616,12.554047,happy,Ses01F
-24.503174,3.1793408,happy,Ses01F
-37.469185,-1.633802,happy,Ses01F
6.805813,-9.777897,neutral,Ses01F
5.929693,-6.36823,neutral,Ses01F
16.966219,-2.7010238,neutral,Ses01F
14.740867,1.4468751,angry,Ses01F
-3.9513094,16.511896,angry,Ses01F
4.734552,13.4809065,angry,Ses01F
-53.860172,6.5591426,angry,Ses01F
9.681886,3.6467803,angry,Ses01F
12.789168,0.17245713,angry,Ses01F
25.200823,-8.888646,angry,Ses01F
0.42678863,10.332558,angry,Ses01F
-9.410411,15.85881,angry,Ses01F
-51.277218,9.838259,angry,Ses01F
-62.97677,8.543725,angry,Ses01F
-32.21977,-7.3059835,angry,Ses01F
-47.092236,3.4396315,angry,Ses01F
8.83466,2.0760953,angry,Ses01F
-81.136795,0.62609667,angry,Ses01F
-76.37769,10.036561,angry,Ses01F
-0.111063145,8.894389,neutral,Ses01F
5.516777,-3.6107013,neutral,Ses01F
-13.70953,-21.648256,neutral,Ses01F
-7.9928517,-17.631296,neutral,Ses01F
8.212577,-0.79293776,neutral,Ses01F
7.4915624,-4.9664445,neutral,Ses01F
4.521643,-5.4348173,neutral,Ses01F
19.546282,-8.135104,neutral,Ses01F
-11.333388,-0.26691493,neutral,Ses01F
-7.746691,-11.656917,neutral,Ses01F
28.753143,-10.672249,happy,Ses01F
16.232439,-0.4766303,happy,Ses01F
-4.99365,3.9554472,happy,Ses01F
18.196995,2.3901823,happy,Ses01F
1.196201,-0.72069365,neutral,Ses01F
9.326607,-2.084209,neutral,Ses01F
17.005621,-6.440566,neutral,Ses01F
17.750193,4.334299,happy,Ses01F
7.914522,8.806237,happy,Ses01F
-33.738976,8.614893,happy,Ses01F
17.021324,-3.5241768,happy,Ses01F
1.761023,-6.542287,neutral,Ses01F
21.788118,-6.955018,neutral,Ses01F
23.506647,-5.757203,neutral,Ses01F
22.444221,-9.939168,sad,Ses01F
28.407621,-7.5244927,neutral,Ses01F
13.277213,-6.840952,happy,Ses01F
22.543623,-4.791113,neutral,Ses01F
17.56271,1.421501,neutral,Ses01F
3.3863034,11.490622,angry,Ses01F
16.688404,8.598761,angry,Ses01F
26.201668,-4.1775928,neutral,Ses01F
22.354893,-2.4833066,happy,Ses01F
23.557573,-4.6361794,sad,Ses01F
18.40347,0.29363903,neutral,Ses01F
20.196257,-6.151322,neutral,Ses01F
21.601915,-7.3819027,neutral,Ses01F
20.98786,-5.9558225,neutral,Ses01F
21.864262,0.776346,neutral,Ses01F
-31.624287,19.443455,angry,Ses01F
-14.821358,10.021542,angry,Ses01F
-13.261663,21.947056,angry,Ses01F
0.12782264,12.9200945,angry,Ses01F
-46.39834,-2.8087213,sad,Ses01F
-0.861452,18.144773,angry,Ses01F
-9.89113,-6.7149043,neutral,Ses01F
-40.323944,-28.870852,happy,Ses01F
-5.7248545,-7.9587245,sad,Ses01F
25.925463,-11.693817,neutral,Ses01F
24.87593,-7.468982,neutral,Ses01F
5.008043,-1.8794287,sad,Ses01F
-55.63795,-11.5709915,sad,Ses01F
24.732073,-8.3640175,sad,Ses01F
-26.624182,-14.124663,sad,Ses01F
1.902344,-9.250755,neutral,Ses01F
-4.7187424,-6.341512,happy,Ses01F
0.68632615,9.598296,happy,Ses01F
22.934984,-5.950284,happy,Ses01F
9.359602,-10.407163,happy,Ses01F
20.488783,-6.049807,sad,Ses01F
21.517605,-12.711943,neutral,Ses01F
-22.377039,7.782847,happy,Ses01F
13.509771,5.885205,happy,Ses01F
19.675907,-1.9244472,happy,Ses01F
15.138639,2.23867,happy,Ses01F
-10.026219,22.658243,happy,Ses01F
24.330801,-3.2028923,happy,Ses01F
-7.6281343,11.634105,happy,Ses01F
-1.1437043,8.159741,happy,Ses01F
-30.954884,-6.957472,happy,Ses01F
-16.656366,14.781985,happy,Ses01F
-65.67273,-5.671594,happy,Ses01F
-22.795708,-1.8624601,happy,Ses01F
-2.678195,-1.7740406,happy,Ses01F
0.32501218,7.149662,happy,Ses01F
-5.8871274,16.399479,happy,Ses01F
-19.054241,16.681334,neutral,Ses01F
18.881958,4.1220703,neutral,Ses01F
23.817709,-8.297996,angry,Ses01F
19.497622,-0.64567786,angry,Ses01F
-1.5858617,0.78153574,angry,Ses01F
-8.629962,14.251559,angry,Ses01F
22.763943,-4.0138655,angry,Ses01F
25.973886,-11.573181,angry,Ses01F
-53.869446,14.123113,angry,Ses01F
8.424805,11.998414,angry,Ses01F
10.49493,12.184721,angry,Ses01F
-1.9518492,5.5773892,angry,Ses01F
7.590684,8.376257,angry,Ses01F
-13.850264,7.20841,angry,Ses01F
21.073637,-2.0186763,angry,Ses01F
11.433794,11.404487,angry,Ses01F
4.4093537,11.516266,angry,Ses01F
25.573643,-3.596313,neutral,Ses01F
5.1952,0.48558098,neutral,Ses01F
13.094516,6.869412,neutral,Ses01F
0.1448526,-4.179979,angry,Ses01F
0.73515636,5.2798963,angry,Ses01F
-54.552067,9.870644,angry,Ses01F
-74.87431,10.930199,angry,Ses01F
-2.8938525,-0.6048246,angry,Ses01F
22.70685,-5.884642,angry,Ses01F
-79.27223,0.2152679,angry,Ses01F
18.020329,7.7780466,angry,Ses01F
16.53326,7.0662217,angry,Ses01F
-0.07177202,11.366981,angry,Ses01F
-8.18701,18.916134,angry,Ses01F
9.139592,18.301704,angry,Ses01F
18.282448,4.1780305,angry,Ses01F
0.42731878,13.200412,angry,Ses01F
3.4302287,10.092747,angry,Ses01F
-19.271505,22.57523,angry,Ses01F
-70.51586,9.330382,angry,Ses01F
-0.7909997,12.204781,neutral,Ses01F
2.9357018,9.183886,neutral,Ses01F
13.215201,-4.595704,neutral,Ses01F
11.757944,-1.578874,sad,Ses01F
11.922699,0.18204457,sad,Ses01F
8.712599,-3.9733555,sad,Ses01F
20.688787,-8.367612,sad,Ses01F
2.256582,-1.2856382,sad,Ses01F
23.984964,-9.890237,sad,Ses01F
24.461159,-2.2484753,happy,Ses01F
21.983059,0.19346401,happy,Ses01F
9.619646,9.362461,happy,Ses01F
-37.62988,13.760719,happy,Ses01F
-4.0286903,15.968506,happy,Ses01F
-18.57079,23.293129,happy,Ses01F
-38.009453,15.880469,happy,Ses01F
-0.85628647,11.286565,happy,Ses01F
-73.12091,5.638232,happy,Ses01F
-46.2339,10.873822,happy,Ses01F
-36.495037,7.480659,happy,Ses01F
22.858303,-2.2609289,happy,Ses01F
-5.7288094,22.97723,happy,Ses01F
-38.093426,21.942993,happy,Ses01F
-3.3457189,6.444261,happy,Ses01F
13.788728,0.9095857,neutral,Ses01F
28.33244,-6.8794518,neutral,Ses01F
-0.21033292,9.614329,happy,Ses01F
22.27181,-3.0477326,happy,Ses01F
4.949459,3.5609353,neutral,Ses01F
-8.612544,14.932179,happy,Ses01F
-32.282513,4.260948,happy,Ses01F
17.06593,6.724776,happy,Ses01F
-0.41737488,11.787167,happy,Ses01F
12.345944,6.3326945,happy,Ses01F
14.83018,2.8476527,neutral,Ses01F
24.435673,-4.7827787,neutral,Ses01F
13.100152,-3.1798782,neutral,Ses01F
16.411581,-5.78486,neutral,Ses01F
5.6870728,4.7709985,neutral,Ses01F
-16.779572,1.1617925,neutral,Ses01F
7.005698,2.9187946,neutral,Ses01F
18.281834,1.5326558,neutral,Ses01F
0.7951414,2.5375445,neutral,Ses01F
-26.384178,-4.859802,neutral,Ses01F
-50.540897,-18.684631,neutral,Ses01F
23.454441,-4.7737293,neutral,Ses01F
-7.2487764,9.334888,neutral,Ses01F
11.8076515,2.9289093,neutral,Ses01F
15.672109,5.0722265,neutral,Ses01F
24.920626,-3.1660917,neutral,Ses01F
0.42745823,5.3522925,neutral,Ses01F
-32.316505,1.9713007,neutral,Ses01F
2.7096581,0.93576133,neutral,Ses01F
17.1996,-0.08785737,neutral,Ses01F
14.20937,0.06981843,neutral,Ses01F
-17.88633,1.0935522,neutral,Ses01F
21.325798,-9.795456,neutral,Ses01F
9.034173,3.4934793,neutral,Ses01F
16.414503,6.60082,neutral,Ses01F
13.7469015,4.1076627,neutral,Ses01F
1.5061343,8.979764,neutral,Ses01F
21.049969,3.2448359,neutral,Ses01F
-2.8979797,9.642297,neutral,Ses01F
14.078367,-0.28138155,neutral,Ses01F
15.644546,-2.9706607,neutral,Ses01F
8.528385,6.8126936,neutral,Ses01F
-8.503551,12.435467,neutral,Ses01F
7.834209,15.701551,neutral,Ses01F
10.070051,8.097633,neutral,Ses01F
16.870672,8.4618225,neutral,Ses01F
-24.086832,18.062294,neutral,Ses01F
-17.160734,5.9314046,neutral,Ses01F
-25.797953,-8.938381,neutral,Ses01F
19.19028,-5.832752,neutral,Ses01F
6.8635764,7.470418,neutral,Ses01F
-18.988863,5.4781423,neutral,Ses01F
24.3818,-3.4143353,neutral,Ses01F
27.724474,-9.469909,neutral,Ses01F
26.104265,-8.28112,neutral,Ses01F
18.03529,4.1379128,neutral,Ses01F
-0.42136285,0.6261655,neutral,Ses01F
14.313535,-4.178126,neutral,Ses01F
24.917534,-6.746206,neutral,Ses01F
21.582827,-5.7338004,neutral,Ses01F
21.9472,-2.7812684,neutral,Ses01F
17.826859,4.1699886,neutral,Ses01F
22.227165,3.3450422,neutral,Ses01F
15.031936,2.407875,neutral,Ses01F
23.628927,1.467569,neutral,Ses01F
-11.172037,9.417934,neutral,Ses01F
20.144745,-6.094174,neutral,Ses01F
17.36081,-8.055275,neutral,Ses01F
21.61578,-3.8039327,neutral,Ses01F
18.381706,-4.94204,sad,Ses01F
17.814972,-4.2038636,sad,Ses01F
23.250114,-5.8465652,sad,Ses01F
20.76864,-6.3726807,sad,Ses01F
20.012066,-2.4205246,neutral,Ses01F
24.024134,-4.903531,neutral,Ses01F
3.947974,0.9016243,neutral,Ses01F
8.217616,-7.18317,neutral,Ses01F
26.616674,-7.740389,neutral,Ses01F
26.45414,-5.505333,neutral,Ses01F
15.418426,-1.2903662,neutral,Ses01F
26.27733,-2.11831,neutral,Ses01F
28.034012,-6.4714355,neutral,Ses01F
24.799635,-4.948492,neutral,Ses01F
20.45123,-5.4482574,neutral,Ses01F
20.30064,-4.0893264,neutral,Ses01F
5.929511,-4.315946,neutral,Ses01F
16.759064,-4.759593,neutral,Ses01F
25.28036,-6.95993,neutral,Ses01F
25.911743,-8.121847,neutral,Ses01F
24.760103,-6.1555943,neutral,Ses01F
17.921324,-3.5903234,neutral,Ses01F
22.910168,-2.7396657,neutral,Ses01F
15.422781,-2.6769764,neutral,Ses01F
25.10668,-6.8535166,neutral,Ses01F
8.935767,-2.2935686,neutral,Ses01F
24.683687,1.3223437,neutral,Ses01F
-37.8703,15.653931,happy,Ses01F
7.435347,11.174739,happy,Ses01F
3.7650084,15.644689,happy,Ses01F
-5.845237,19.201134,happy,Ses01F
-13.737246,18.185205,happy,Ses01F
-12.473092,23.247667,happy,Ses01F
12.572938,8.597861,happy,Ses01F
-21.520674,23.92162,happy,Ses01F
23.860432,-1.6748954,neutral,Ses01F
-11.601946,6.65225,happy,Ses01F
1.296031,8.7795925,neutral,Ses01F
5.218156,3.2985666,happy,Ses01F
-53.82115,-4.473066,happy,Ses01F
-4.2809973,13.969143,happy,Ses01F
-12.080645,1.1156024,happy,Ses01F
-14.083622,17.952642,happy,Ses01F
4.98877,0.055440065,neutral,Ses01F
-28.2306,6.9823513,happy,Ses01F
-19.979704,16.863436,happy,Ses01F
11.574027,6.428728,happy,Ses01F
13.275828,7.754507,happy,Ses01F
-0.11593232,8.828872,happy,Ses01F
-23.236761,21.207762,happy,Ses01F
-65.60995,-0.21913011,happy,Ses01F
18.212282,-0.27888557,happy,Ses01F
-46.88645,-4.149851,happy,Ses01F
21.746916,-6.478892,sad,Ses01F
16.433313,-8.104743,sad,Ses01F
24.843588,-10.725798,sad,Ses01F
1.3914927,-5.205526,angry,Ses01F
8.350114,2.8520625,angry,Ses01F
-15.53878,7.280991,angry,Ses01F
-45.677586,-11.561781,angry,Ses01F
-36.398468,15.922755,angry,Ses01F
23.426708,-7.65346,angry,Ses01F
-7.8520164,19.010725,angry,Ses01F
-38.070614,15.503974,angry,Ses01F
-85.728485,5.3215675,angry,Ses01F
-3.3776016,14.598376,neutral,Ses01F
4.7496347,2.8451319,neutral,Ses01F
6.8520813,3.1101825,angry,Ses01F
-45.302135,11.819839,angry,Ses01F
-32.10403,-3.1299188,sad,Ses01F
-21.991697,12.453722,angry,Ses01F
6.020163,8.511906,angry,Ses01F
-18.143675,15.9018345,angry,Ses01F
-4.1722,17.173023,angry,Ses01F
6.6683574,9.406705,angry,Ses01F
-81.110695,5.69737,angry,Ses01F
6.825149,11.720979,angry,Ses01F
3.536648,4.4993324,angry,Ses01F
15.338248,-6.0821867,angry,Ses01F
14.533078,-0.4378186,angry,Ses01F
5.574327,-5.7682643,angry,Ses01F
-0.2745935,13.325807,angry,Ses01F
-50.273365,15.732346,angry,Ses01F
-57.729088,-4.097644,angry,Ses01F
-65.88854,8.71345,angry,Ses01F
-72.6915,16.060978,angry,Ses01F
-23.370968,24.884087,angry,Ses01F
4.9279046,1.9905962,neutral,Ses01F
4.508943,-8.9156065,neutral,Ses01F
-11.075866,-15.365923,sad,Ses01F
5.5170665,-1.9502599,neutral,Ses01F
-1.9441882,-4.0229573,sad,Ses01F
0.8125044,-5.5004907,sad,Ses01F
-2.8313186,6.7969375,neutral,Ses01F
9.412145,0.944889,neutral,Ses01F
16.228142,7.8917255,happy,Ses01F
-60.11646,17.81579,happy,Ses01F
-26.528091,12.401138,happy,Ses01F
21.228498,-4.3767743,sad,Ses01F
4.71029,4.187107,sad,Ses01F
17.295113,-6.8452764,sad,Ses01F
13.850049,-7.9288106,sad,Ses01F
21.771446,-3.6532097,sad,Ses01F
19.35421,-5.5472674,sad,Ses01F
17.588488,-10.816388,sad,Ses01F
11.227735,-4.8499093,sad,Ses01F
11.3129,-2.0023975,happy,Ses01F
-14.059722,16.263994,angry,Ses01F
27.417065,-6.045458,neutral,Ses01F
26.34784,-8.811207,neutral,Ses01F
19.752583,-0.5812757,happy,Ses01F
16.309273,6.0270953,angry,Ses01F
-50.754063,10.767327,angry,Ses01F
21.208817,3.3641098,angry,Ses01F
-57.52288,-15.794789,angry,Ses01F
13.825264,8.189219,angry,Ses01F
21.455244,-5.494056,neutral,Ses01F
-45.502647,19.001667,angry,Ses01F
-13.237595,15.690752,angry,Ses01F
-12.390504,20.752426,angry,Ses01F
-0.64190006,14.868145,angry,Ses01F
-14.243355,16.566076,angry,Ses01F
-78.425606,3.364472,angry,Ses01F
-19.967188,-14.514201,neutral,Ses01F
-30.984179,-8.036693,sad,Ses01F
-7.154698,-8.507095,sad,Ses01F
25.626938,-11.016583,sad,Ses01F
26.134426,-9.916039,sad,Ses01F
-7.3580313,20.29084,angry,Ses01F
-8.074984,9.839681,angry,Ses01F
-19.414253,-2.487474,angry,Ses01F
-5.2263174,9.214373,sad,Ses01F
-36.935005,-13.368901,sad,Ses01F
-0.1996709,-4.6725693,sad,Ses01F
-21.871616,-5.9634676,sad,Ses01F
24.894367,-8.376472,sad,Ses01F
-34.72355,-9.885389,sad,Ses01F
9.638165,-9.332307,happy,Ses01F
-7.948667,-17.671478,happy,Ses01F
17.529745,-5.539589,sad,Ses01F
16.604395,-11.4156275,neutral,Ses01F
10.432746,4.354926,happy,Ses01F
15.114608,1.1641912,happy,Ses01F
24.682678,-1.9481397,happy,Ses01F
14.5269575,4.0080304,happy,Ses01F
3.2590795,5.4264483,happy,Ses01F
22.194332,4.6099377,happy,Ses01F
27.968945,-5.7211075,happy,Ses01F
12.757552,0.7550669,happy,Ses01F
-2.5414166,14.644013,happy,Ses01F
3.6290898,2.9869606,happy,Ses01F
-22.199135,15.718522,happy,Ses01F
6.2938437,6.7763357,happy,Ses01F
8.550066,7.970841,happy,Ses01F
17.487724,-5.3419657,happy,Ses01F
6.3798504,6.7891316,happy,Ses01F
-29.464098,17.016642,happy,Ses01F
8.479477,2.6423001,happy,Ses01F
-14.5827875,16.729614,happy,Ses01F
-20.750778,21.884708,happy,Ses01F
6.346166,12.658879,happy,Ses01F
9.251646,8.124804,happy,Ses01F
13.084479,0.11690194,happy,Ses01F
-1.7579024,4.202685,happy,Ses01F
18.140968,2.3813026,neutral,Ses01F
17.623795,-1.1486703,neutral,Ses01F
0.4810225,2.9017212,angry,Ses01F
14.377953,0.005225532,angry,Ses01F
-15.225625,7.2758865,angry,Ses01F
17.82502,6.3202233,angry,Ses01F
-39.860733,19.791166,angry,Ses01F
3.3149843,11.020413,angry,Ses01F
13.191989,8.014437,angry,Ses01F
-1.8654064,8.039181,angry,Ses01F
11.515769,7.4224687,angry,Ses01F
-28.928095,21.476002,angry,Ses01F
17.208088,4.5190883,angry,Ses01F
-7.010091,16.68383,angry,Ses01F
22.690252,0.91941524,angry,Ses01F
8.953385,12.363566,angry,Ses01F
11.297757,3.873975,angry,Ses01F
-11.007038,10.658169,angry,Ses01F
20.59418,2.9187386,angry,Ses01F
8.115103,14.470197,angry,Ses01F
-23.561201,20.883795,angry,Ses01F
-66.59186,13.060309,angry,Ses01F
-9.063072,12.420049,angry,Ses01F
-85.85207,3.0512626,angry,Ses01F
-27.785244,3.4678295,angry,Ses01M
-25.199594,16.532768,angry,Ses01M
1.1844221,-10.301067,sad,Ses01M
2.654185,-5.2708354,sad,Ses01M
12.942229,-11.727358,sad,Ses01M
12.503067,-13.882599,sad,Ses01M
19.18618,-15.245322,sad,Ses01M
7.140701,-10.492909,neutral,Ses01M
8.224377,-11.427219,sad,Ses01M
5.517723,-9.566938,sad,Ses01M
28.966368,-7.3801994,neutral,Ses01M
18.34258,0.058237784,neutral,Ses01M
21.5133,-2.3813722,neutral,Ses01M
-2.5795918,11.005723,happy,Ses01M
19.958652,-1.6122065,neutral,Ses01M
11.727505,4.142233,happy,Ses01M
21.895473,3.2596343,neutral,Ses01M
-9.025885,7.4356556,neutral,Ses01M
-2.7086673,9.952708,neutral,Ses01M
5.08594,13.829068,happy,Ses01M
4.629881,2.380682,happy,Ses01M
16.151398,5.2546835,happy,Ses01M
19.995962,-1.1684736,neutral,Ses01M
-0.68314487,-4.002802,neutral,Ses01M
-1.0081934,1.3756361,neutral,Ses01M
17.246267,-4.942803,neutral,Ses01M
22.93072,-0.9552308,happy,Ses01M
2.6724062,7.4712563,happy,Ses01M
20.101748,-2.4732578,neutral,Ses01M
10.27743,-9.899553,neutral,Ses01M
25.087357,-5.945327,neutral,Ses01M
15.827731,-9.111911,neutral,Ses01M
26.307047,-9.278649,neutral,Ses01M
6.05455,-9.914992,neutral,Ses01M
14.045724,-9.24685,neutral,Ses01M
16.16704,-7.7728596,neutral,Ses01M
26.098902,-2.1650343,neutral,Ses01M
29.404646,-6.7870994,neutral,Ses01M
15.16007,0.044716265,neutral,Ses01M
27.38597,-12.823499,neutral,Ses01M
10.111465,-7.6997523,neutral,Ses01M
20.551374,-5.7492323,neutral,Ses01M
15.78725,-9.351765,neutral,Ses01M
-21.988161,-8.044572,neutral,Ses01M
-22.125856,-1.1409901,neutral,Ses01M
13.470665,-1.4345818,neutral,Ses01M
14.296702,-0.36557955,neutral,Ses01M
-7.1346526,-1.1112245,neutral,Ses01M
25.132956,-2.9807534,neutral,Ses01M
22.100508,-3.3900685,neutral,Ses01M
-29.667204,-13.614914,neutral,Ses01M
23.676779,-9.691969,neutral,Ses01M
5.956092,-9.407801,neutral,Ses01M
22.673317,-6.7049084,neutral,Ses01M
15.018195,-8.353044,neutral,Ses01M
21.19881,-7.4723363,neutral,Ses01M
18.156464,-6.057973,neutral,Ses01M
28.557985,-7.489327,neutral,Ses01M
20.449362,-10.35481,neutral,Ses01M
18.2158,-4.228612,neutral,Ses01M
22.095564,-1.709386,neutral,Ses01M
23.285633,0.01909719,happy,Ses01M
27.519178,-4.35951,happy,Ses01M
25.523306,-4.095811,neutral,Ses01M
22.671783,-0.60946715,neutral,Ses01M
1.6345724,-0.23800592,neutral,Ses01M
26.693651,-11.935088,neutral,Ses01M
-4.145235,-4.8342624,neutral,Ses01M
26.01193,-8.014669,neutral,Ses01M
-11.639278,2.1801689,neutral,Ses01M
-11.375959,-2.0550601,neutral,Ses01M
-41.226105,-29.389431,neutral,Ses01M
14.422605,0.49189234,neutral,Ses01M
22.85439,-2.2441368,neutral,Ses01M
20.1499,3.9932878,neutral,Ses01M
15.033162,-7.5821667,neutral,Ses01M
-21.090944,-13.25825,neutral,Ses01M
-11.389922,-3.655965,neutral,Ses01M
19.261211,7.8916225,neutral,Ses01M
21.265476,3.802455,neutral,Ses01M
13.262695,10.234631,neutral,Ses01M
-38.423492,8.896379,neutral,Ses01M
-17.321447,1.7574493,neutral,Ses01M
21.795261,-0.2467891,neutral,Ses01M
-16.040674,8.915472,neutral,Ses01M
18.991865,4.0273814,neutral,Ses01M
4.4819517,3.043092,neutral,Ses01M
-15.970339,1.419647,neutral,Ses01M
1.3629041,-1.5407429,neutral,Ses01M
20.690382,-3.9247072,neutral,Ses01M
-11.398415,-4.8084683,neutral,Ses01M
-2.3308022,-13.702003,neutral,Ses01M
17.830793,-12.107644,sad,Ses01M
-2.0586836,-12.9345455,neutral,Ses01M
29.128107,-11.841968,neutral,Ses01M
-0.15525146,-12.471243,sad,Ses01M
29.1988,-11.23857,neutral,Ses01M
26.445913,-9.009073,neutral,Ses01M
29.337784,-12.77757,neutral,Ses01M
28.402626,-10.839114,sad,Ses01M
24.119692,-7.598856,neutral,Ses01M
28.901705,-8.20836,neutral,Ses01M
26.686909,-8.0563,neutral,Ses01M
15.998591,-11.101259,neutral,Ses01M
23.207087,-11.356069,neutral,Ses01M
20.840422,-9.543254,neutral,Ses01M
27.817524,-6.0224333,neutral,Ses01M
26.88635,-10.196743,neutral,Ses01M
16.981178,-11.134889,neutral,Ses01M
15.122557,10.169569,happy,Ses01M
-9.7258625,15.813037,happy,Ses01M
-18.511984,21.239613,happy,Ses01M
-25.579538,3.2133014,happy,Ses01M
-33.52926,4.056505,happy,Ses01M
-25.379263,15.247278,happy,Ses01M
-17.040638,13.910968,happy,Ses01M
-51.49593,6.5723653,happy,Ses01M
12.33552,4.8172455,happy,Ses01M
-20.306135,10.713143,happy,Ses01M
-2.0357375,1.5685003,neutral,Ses01M
4.216039,8.793521,neutral,Ses01M
-9.8217,9.861807,happy,Ses01M
-48.3373,-7.784504,happy,Ses01M
2.224585,4.46085,happy,Ses01M
-3.859366,0.92421955,neutral,Ses01M
-48.684677,-16.415209,happy,Ses01M
18.24565,-9.361961,neutral,Ses01M
15.637215,-9.068408,neutral,Ses01M
-23.688227,-27.484032,neutral,Ses01M
27.541515,-12.538472,neutral,Ses01M
22.23083,-10.922834,neutral,Ses01M
-23.805134,-11.566229,neutral,Ses01M
18.796724,-4.4934144,neutral,Ses01M
13.98169,-13.038018,neutral,Ses01M
27.023235,-12.042932,neutral,Ses01M
17.507395,-10.964022,neutral,Ses01M
20.95687,-8.304744,neutral,Ses01M
15.00835,-1.7941593,neutral,Ses01M
-51.538246,-3.0034938,angry,Ses01M
21.56118,-7.948073,neutral,Ses01M
-21.995035,-17.579763,neutral,Ses01M
