train_sample_id,sample_id,utterance_id,conversation_id,session,speaker_id,gender,original_emotion,emotion,start_time,end_time,eval_duration,valence,arousal,dominance,wav_path,wav_found,duration,sample_rate,channels,transcript,transcript_found,transcript_file,eval_file,is_4class,emotion_4class,emotion_id,valence_norm,arousal_norm,dominance_norm,source_dataset,word_count,transcript_norm_for_match
iemocap_train_02850,iemocap_04338,Ses03F_script02_1_M044,Ses03F_script02_1,Ses03,Ses03M,male,neu,neutral,360.635,362.95,2.3149999999999977,3.0,3.0,2.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_script02_1/Ses03F_script02_1_M044.wav,True,2.3149375,16000,1,About what I just said.,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/transcriptions/Ses03F_script02_1.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/EmoEvaluation/Ses03F_script02_1.txt,True,neutral,0,0.5,0.5,0.375,IEMOCAP_full_release,5,about what i just said
iemocap_train_02856,iemocap_04430,Ses03F_script02_2_M038,Ses03F_script02_2,Ses03,Ses03M,male,hap,happy,367.3178,372.5049,5.187100000000044,3.0,2.6667,2.3333,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_script02_2/Ses03F_script02_2_M038.wav,True,5.187125,16000,1,"Actually now that you mention it, no, I don't.",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/transcriptions/Ses03F_script02_2.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/EmoEvaluation/Ses03F_script02_2.txt,True,happy,3,0.5,0.416675,0.333325,IEMOCAP_full_release,9,actually now that you mention it no i dont
iemocap_train_04236,iemocap_07690,Ses04M_script02_2_M039,Ses04M_script02_2,Ses04,Ses04M,male,hap,happy,320.0036,324.83,4.826399999999978,2.5,3.0,3.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M039.wav,True,4.8263125,16000,1,"Actually, now that you mention it, no.  I don't.",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/dialog/transcriptions/Ses04M_script02_2.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/dialog/EmoEvaluation/Ses04M_script02_2.txt,True,happy,3,0.375,0.5,0.625,IEMOCAP_full_release,9,actually now that you mention it no i dont
iemocap_train_05167,iemocap_08836,Ses05F_script02_2_M035,Ses05F_script02_2,Ses05,Ses05M,male,hap,happy,374.2571,381.1073,6.850200000000029,4.0,2.5,3.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session5/sentences/wav/Ses05F_script02_2/Ses05F_script02_2_M035.wav,True,6.8501875,16000,1,"Actually, now that you mention it.  No, I don't.",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session5/dialog/transcriptions/Ses05F_script02_2.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session5/dialog/EmoEvaluation/Ses05F_script02_2.txt,True,happy,3,0.75,0.375,0.5,IEMOCAP_full_release,9,actually now that you mention it no i dont
iemocap_train_05468,iemocap_09874,Ses05M_script02_2_M034,Ses05M_script02_2,Ses05,Ses05M,male,hap,happy,381.7787,389.38,7.601299999999981,3.3333,2.6667,2.3333,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session5/sentences/wav/Ses05M_script02_2/Ses05M_script02_2_M034.wav,True,7.60125,16000,1,"Actually, now that you mention it, no.  I don't.",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session5/dialog/transcriptions/Ses05M_script02_2.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session5/dialog/EmoEvaluation/Ses05M_script02_2.txt,True,happy,3,0.583325,0.416675,0.333325,IEMOCAP_full_release,9,actually now that you mention it no i dont
iemocap_train_04019,iemocap_06704,Ses04F_script02_2_M043,Ses04F_script02_2,Ses04,Ses04M,male,neu,neutral,375.83,379.538,3.708000000000027,3.0,2.0,3.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script02_2/Ses04F_script02_2_M043.wav,True,3.708,16000,1,"Actually now that you mention it, no I don't.",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/dialog/transcriptions/Ses04F_script02_2.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/dialog/EmoEvaluation/Ses04F_script02_2.txt,True,neutral,0,0.5,0.25,0.5,IEMOCAP_full_release,9,actually now that you mention it no i dont
iemocap_train_01042,iemocap_01701,Ses01M_script03_1_M011,Ses01M_script03_1,Ses01,Ses01M,male,hap,happy,60.07,61.4025,1.3325000000000031,4.5,2.5,2.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script03_1/Ses01M_script03_1_M011.wav,True,1.3325,16000,1,Ah...,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01M_script03_1.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01M_script03_1.txt,True,happy,3,0.875,0.375,0.25,IEMOCAP_full_release,1,ah
iemocap_train_04660,iemocap_09189,Ses05M_impro04_F021,Ses05M_impro04,Ses05,Ses05F,female,neu,neutral,177.47,178.85,1.3799999999999957,2.5,3.0,2.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session5/sentences/wav/Ses05M_impro04/Ses05M_impro04_F021.wav,True,1.3799375,16000,1,ah.,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session5/dialog/transcriptions/Ses05M_impro04.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session5/dialog/EmoEvaluation/Ses05M_impro04.txt,True,neutral,0,0.375,0.5,0.375,IEMOCAP_full_release,1,ah
iemocap_train_01918,iemocap_02993,Ses02M_impro06_M022,Ses02M_impro06,Ses02,Ses02M,male,sad,sad,246.265,248.3433,2.078300000000013,2.5,3.0,3.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro06/Ses02M_impro06_M022.wav,True,2.07825,16000,1,Ah.,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/transcriptions/Ses02M_impro06.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/EmoEvaluation/Ses02M_impro06.txt,True,sad,2,0.375,0.5,0.5,IEMOCAP_full_release,1,ah
iemocap_train_02502,iemocap_05071,Ses03M_impro07_F012,Ses03M_impro07,Ses03,Ses03F,female,hap,happy,86.77,88.37,1.6000000000000083,3.5,3.5,2.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro07/Ses03M_impro07_F012.wav,True,1.6,16000,1,All right.,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/transcriptions/Ses03M_impro07.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/EmoEvaluation/Ses03M_impro07.txt,True,happy,3,0.625,0.625,0.375,IEMOCAP_full_release,2,all right
iemocap_train_02635,iemocap_03698,Ses03F_impro02_M000,Ses03F_impro02,Ses03,Ses03M,male,neu,neutral,10.0719,11.88,1.8081000000000012,2.5,2.0,2.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro02/Ses03F_impro02_M000.wav,True,1.8080625,16000,1,All right.,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/transcriptions/Ses03F_impro02.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/EmoEvaluation/Ses03F_impro02.txt,True,neutral,0,0.375,0.25,0.25,IEMOCAP_full_release,2,all right
iemocap_train_04754,iemocap_09434,Ses05M_impro08_F013,Ses05M_impro08,Ses05,Ses05F,female,neu,neutral,115.46,116.6,1.1400000000000006,3.0,2.5,2.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session5/sentences/wav/Ses05M_impro08/Ses05M_impro08_F013.wav,True,1.14,16000,1,All right.,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session5/dialog/transcriptions/Ses05M_impro08.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session5/dialog/EmoEvaluation/Ses05M_impro08.txt,True,neutral,0,0.5,0.375,0.375,IEMOCAP_full_release,2,all right
iemocap_train_01573,iemocap_01894,Ses02F_impro02_M012,Ses02F_impro02,Ses02,Ses02M,male,sad,sad,208.8905,210.8151,1.924599999999998,3.0,2.0,1.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro02/Ses02F_impro02_M012.wav,True,1.9245625,16000,1,All right.,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/transcriptions/Ses02F_impro02.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/EmoEvaluation/Ses02F_impro02.txt,True,sad,2,0.5,0.25,0.125,IEMOCAP_full_release,2,all right
iemocap_train_03391,iemocap_06153,Ses04F_impro07_F042,Ses04F_impro07,Ses04,Ses04F,female,exc,happy,208.53,210.02,1.490000000000009,4.0,3.0,2.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro07/Ses04F_impro07_F042.wav,True,1.49,16000,1,Alright.,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/dialog/transcriptions/Ses04F_impro07.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/dialog/EmoEvaluation/Ses04F_impro07.txt,True,happy,3,0.75,0.5,0.375,IEMOCAP_full_release,1,alright
iemocap_train_03015,iemocap_05027,Ses03M_impro06_M001,Ses03M_impro06,Ses03,Ses03M,male,sad,sad,17.2553,20.0055,2.750200000000003,3.5,2.5,2.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro06/Ses03M_impro06_M001.wav,True,2.750125,16000,1,alright.,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/transcriptions/Ses03M_impro06.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/EmoEvaluation/Ses03M_impro06.txt,True,sad,2,0.625,0.375,0.375,IEMOCAP_full_release,1,alright
iemocap_train_03952,iemocap_06409,Ses04F_script01_1_M028,Ses04F_script01_1,Ses04,Ses04M,male,ang,angry,220.1792,224.57,4.3907999999999845,2.0,4.0,4.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M028.wav,True,4.3908125,16000,1,"and then we'll thrash it out with dad, right mom.  Don't avoid me.",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/dialog/transcriptions/Ses04F_script01_1.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/dialog/EmoEvaluation/Ses04F_script01_1.txt,True,angry,1,0.25,0.75,0.75,IEMOCAP_full_release,13,and then well thrash it out with dad right mom dont avoid me
iemocap_train_03136,iemocap_05300,Ses03M_script01_1_M031,Ses03M_script01_1,Ses03,Ses03M,male,neu,neutral,253.115,259.0759,5.960899999999981,2.0,3.5,4.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_script01_1/Ses03M_script01_1_M031.wav,True,5.9608125,16000,1,"And then we'll thrash it out with dad right?  Mom, don't avoid me.",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/transcriptions/Ses03M_script01_1.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/EmoEvaluation/Ses03M_script01_1.txt,True,neutral,0,0.25,0.625,0.75,IEMOCAP_full_release,13,and then well thrash it out with dad right mom dont avoid me
iemocap_train_04263,iemocap_07836,Ses04M_script03_2_M024,Ses04M_script03_2,Ses04,Ses04M,male,ang,angry,129.84,132.55,2.710000000000008,2.5,3.5,2.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_script03_2/Ses04M_script03_2_M024.wav,True,2.7099375,16000,1,"As a matter of fact, that's perfectly true.",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/dialog/transcriptions/Ses04M_script03_2.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/dialog/EmoEvaluation/Ses04M_script03_2.txt,True,angry,1,0.375,0.625,0.375,IEMOCAP_full_release,8,as a matter of fact thats perfectly true
iemocap_train_02092,iemocap_03600,Ses02M_script03_2_M018,Ses02M_script03_2,Ses02,Ses02M,male,neu,neutral,102.338,105.6305,3.292500000000004,3.5,3.0,3.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_script03_2/Ses02M_script03_2_M018.wav,True,3.2924375,16000,1,"As a matter of fact, that's perfectly true.",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/transcriptions/Ses02M_script03_2.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/EmoEvaluation/Ses02M_script03_2.txt,True,neutral,0,0.625,0.5,0.625,IEMOCAP_full_release,8,as a matter of fact thats perfectly true
iemocap_train_02872,iemocap_04543,Ses03F_script03_2_M000,Ses03F_script03_2,Ses03,Ses03M,male,ang,angry,9.3056,14.39,5.0844000000000005,3.5,3.0,3.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_script03_2/Ses03F_script03_2_M000.wav,True,5.084375,16000,1,"As a matter of fact, the real cause of that row was Peter Burden.",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/transcriptions/Ses03F_script03_2.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/EmoEvaluation/Ses03F_script03_2.txt,True,angry,1,0.625,0.5,0.625,IEMOCAP_full_release,14,as a matter of fact the real cause of that row was peter burden
iemocap_train_01819,iemocap_02615,Ses02F_script03_1_M034,Ses02F_script03_1,Ses02,Ses02M,male,neu,neutral,212.42,217.2,4.780000000000001,3.0,2.0,3.3333,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_1/Ses02F_script03_1_M034.wav,True,4.7799375,16000,1,"As a matter of fact, the real cause of that row was Peter Burden.",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/transcriptions/Ses02F_script03_1.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/EmoEvaluation/Ses02F_script03_1.txt,True,neutral,0,0.5,0.25,0.583325,IEMOCAP_full_release,14,as a matter of fact the real cause of that row was peter burden
iemocap_train_01820,iemocap_02660,Ses02F_script03_2_M000,Ses02F_script03_2,Ses02,Ses02M,male,neu,neutral,4.62,8.28,3.6599999999999993,3.0,2.5,2.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M000.wav,True,3.66,16000,1,"As a matter of fact, the real cause of that row was Peter Burden.",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/transcriptions/Ses02F_script03_2.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/EmoEvaluation/Ses02F_script03_2.txt,True,neutral,0,0.5,0.375,0.375,IEMOCAP_full_release,14,as a matter of fact the real cause of that row was peter burden
iemocap_train_02083,iemocap_03582,Ses02M_script03_2_M000,Ses02M_script03_2,Ses02,Ses02M,male,neu,neutral,3.3467,7.2362,3.8895,3.0,3.0,4.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_script03_2/Ses02M_script03_2_M000.wav,True,3.8894375,16000,1,"As a matter of fact, the real cause of that row was Peter Burden.",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/transcriptions/Ses02M_script03_2.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/EmoEvaluation/Ses02M_script03_2.txt,True,neutral,0,0.5,0.5,0.75,IEMOCAP_full_release,14,as a matter of fact the real cause of that row was peter burden
iemocap_train_04033,iemocap_06825,Ses04F_script03_2_M000,Ses04F_script03_2,Ses04,Ses04M,male,neu,neutral,5.27,9.44,4.17,3.0,3.0,3.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_M000.wav,True,4.17,16000,1,"As a matter of fact, the real cause of that row was Peter Burden.",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/dialog/transcriptions/Ses04F_script03_2.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/dialog/EmoEvaluation/Ses04F_script03_2.txt,True,neutral,0,0.5,0.5,0.625,IEMOCAP_full_release,14,as a matter of fact the real cause of that row was peter burden
iemocap_train_04251,iemocap_07758,Ses04M_script03_1_M033,Ses04M_script03_1,Ses04,Ses04M,male,neu,neutral,226.9,231.71,4.810000000000002,3.0,3.5,4.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_script03_1/Ses04M_script03_1_M033.wav,True,4.81,16000,1,"As a matter of fact, the real cause of that row was Peter Burden.",True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/dialog/transcriptions/Ses04M_script03_1.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/dialog/EmoEvaluation/Ses04M_script03_1.txt,True,neutral,0,0.5,0.625,0.75,IEMOCAP_full_release,14,as a matter of fact the real cause of that row was peter burden
